place_id,place_name,address,descrip,latitude,longitude,image_url,story
1,中共一大代表宿舍旧址 ,太仓路127号(博文女校) ,该旧址原为蒲柏路389号。1927年7月中共“一大”召开时，为私立博文女校，学校创办于民国六年（1917），校长为北京女子师范学堂毕业的黄绍兰。前进楼下二间为课堂和会客室；楼上三间为教员宿舍；后进上下六间为教室。 1921年7月，李汉俊、李达以北京大学师生暑期旅行团名义，借此校舍安排参加中共“一大”的九位代表，住前进二楼。毛泽东、何叔衡住西半间，王尽美、邓恩铭住沿街西间，董必武、陈潭秋住东半间，包惠僧、周佛海、刘仁静住沿街东侧北半间和中间。7月22日下午，在东侧北半间举行预备会议。该旧址现为中共“一大”会址纪念馆资料部。 1959年5月26日和1977年12月7日，由上海市人民委员会、上海市革命委员会两次公布为上海市文物保护单位。1985年1月7日，由上海市人民政府改为现名。 建筑特征：中国共产党第一次全国代表大会宿舍旧址为沿街石库门建筑，两层砖木结构，坐南朝北，一客堂两厢房形制，占地面积193平方米，建筑面积299平方米。以内天井为界分前后两进，前进拱形门楣，有檐齿，山花饰矾红色浮雕忍冬草叶，两侧为红砖方壁柱；条石门框有雀替，黑漆大门，二层左右有挑出的木构阳台，铸铁花栅围栏。后进纵向较深，山墙顶部作半圆形突起。外墙清水青砖间红砖带饰，一至二层间有凸出砖砌腰线，双坡顶覆盖中式小青瓦。,31.227552,121.48231,http://www.ccphistory.org.cn/images/thumbnailimg/month_1608/20160805092837690.jpg,中共一大代表宿舍旧址位于太仓路127号。这里曾经是私立女校“博文女校”校舍。中共一大召开期间，部分与会代表曾在此借住。与会代表住宿在博文女校是由王会悟具体安排的。当时王会悟参加了上海女界联合会，担任《妇女声》的编辑，与博文女校校长黄绍兰关系很好。她便以“北京大学暑期旅行团”的名义，向黄绍兰租借教室，作为代表们的住宿地，黄绍兰一口答应下来。1921年7月中旬，代表们陆续来到上海，除上海代表李达、李汉俊及广州代表陈公博（因新婚借宿大东旅社）外，其余代表均住在博文女校内（张国焘有时住在其他地方）。当时住宿房间就是第二进楼上的教室。室内陈设简陋，仅存放着木板床和书桌。中共一大代表从各地陆续到达上海后，大都忙于整理和准备各地共产党早期组织的情况与资料，准备在中共一大上宣读与汇报。当时是盛夏，中共一大代表们纷纷摇着蒲扇，奋笔疾书，直至深夜才休息。中共一大在上海召开后，由于中途会场遭到法租界包探骚扰，代表们因此离开上海，转赴嘉兴南湖继续开会。博文女校至此结束了它在一大中的使命。1933年，国民党上海市党部借口该校“设备简陋”而取消立案，校址复为民宅。1951年为纪念中国共产党成立30周年，寻找到党的一大会址和一大代表临时宿舍以后，由房管部门陆续把这里的居民迁出，略加修复。1959年5月，上海市人民委员会公布此旧址为上海市文物保护单位，并在此楼下客厅勒石纪念。1985年1月，上海市人民政府重新公布此楼为上海市文物保护单位。2019年10月，增补为全国重点文物保护单位。（来源：《初心之地——上海红色革命纪念地全纪录》） 
2,中共一大会会址,兴业路76号(法租界贝勒路树德里3号（望志路106号）) ,中共一大会址房屋建于1920年秋，建成后不久，李汉俊（上海共产主义小组发起人之一）及其兄李书城（同盟会发起人之一）租用望志路106号、108号为寓所，将两幢房屋的内墙打通，成为一家，人称“李公馆”。 1921年7月23日，来自各地中国共产党早期组织的代表李达、李汉俊、张国焘、刘仁静、毛泽东、何叔衡、董必武、陈潭秋、王尽美、邓恩铭、陈公博、周佛海，还有包惠僧及共产国际代表马林等秘密汇聚在上海法租界的贝勒路树德里3号（今兴业路76号会址），举行了中国共产党第一次全国代表大会。 1922年，李氏兄弟迁居退租，该屋为其他居民租用。 1924年改建，增建了厢房，楼下开设商店，房屋面貌全非。 1950年9月，为迎接建党30周年，中共上海市委根据中央的指示，寻找中共一大会址。经多方勘查，李达、董必武、包惠僧和李书城夫人等多位历史当事人、见证人现场踏勘，确认兴业路76为中共一大会址。 1984年3月，邓小平为中共一大纪念馆题写了馆名。 1999年，时任中共中央总书记江泽民为扩建工程竣工开放题词“没有共产党就没有新中国”。 建筑特征： 中国共产党第一次全国代表大会会址为典型的上海石库门里弄建筑，占地面积576平方米，建筑面积825平方米，砖木结构二层，一楼一底，坐北朝南，同一式样沿街共两排，以过街楼相连，弄名树德里。建筑外墙清水青砖间红砖带饰，砖缝嵌白色粉线；小青瓦双坡顶，山墙顶部作半圆处理。门罩外方，左右肩部饰巴洛克式涡卷；门楣圆拱形，饰矾红色盾形兼卷草叶堆花图案，两侧砖砌方壁柱落于水泥勒脚之上，黑漆大门配黄铜门环，门框为米黄色花岗岩条石。进门过天井是一间18平方米的客堂，即为当年开会场所。,31.226039,121.481626,http://news.cnr.cn/native/gd/20210604/W020210604819190116501.jpg,1920年，在上海法租界贝勒路上，建起了一片名为树德里的石库门住宅，其外形与当年上海其他的石库门住宅相比别无二致。时人或许很难想到，这里会作为中国共产党第一次全国代表大会的会址，从这里走出的中国共产党会给中国带来天翻地覆的变化。1921年7月23日，来自全国各地的代表共13人齐聚在望志路106号（今兴业路76号），召开中国共产党第一次全国代表大会。大会的中心议题是正式建立中国共产党。大会上通过了党纲和《关于当前实际工作的决议》，确定了党的名称、性质与奋斗目标，指出党成立后的中心任务是组织工会和教育工人，领导工人运动，对党领导工人运动的任务、方针、政策和方法都提出了规定或要求。会上选举出了中央局，由陈独秀任书记、张国焘为组织主任、李达为宣传主任。由此，中国共产党正式破茧而出。在开会过程中，还发生了一个小插曲07月30日晚，正当会议进行过程中，突然有一陌生男子闯进了会场，当询问他时，他答称走错了地方。其实这个人是法租界巡捕房密探程子卿。他的行动引起了与会人员的警觉。会议立即中断，代表们迅速分头离开。十几分钟后，法国巡捕赶来，包围并搜查了会场，但一无所获。其后，代表们商量改换会议地点，在李达夫人王会悟的提议下，决定到嘉兴南湖去开完最后一次会议。中华人民共和国成立后，中共中央根据董必武等人的回忆，几经寻找终于确定了一大会址，并且对其进行了修缮。1952年，会址建筑修复完毕，开辟为纪念馆对外开放。1961年，中国共产党第一次全国代表大会会址被公布为第一批全国重点文物保护单位。1984年，邓小平为纪念馆题写馆名。2017年，习近平总书记带领中共中央政治局常委瞻仰中共一大会址时，发表重要讲话，强调：“只有不忘初心、牢记使命、永远奋斗，才能让中国共产党永远年轻。”（来源：《初心之地——上海红色革命纪念地全纪录》）
3,《新青年》编辑部上海旧址,南昌路100弄2号(环龙路老渔阳里2号) ,《新青年》原名《青年杂志》，是陈独秀1915年9月在上海创办的月刊，次年自第二卷改名为《新青年》，新文化运动由此掀起。1917年，陈独秀因担任北京大学文科学长，《新青年》编辑部迁往北京。1920年初，陈独秀自京返沪，《新青年》编辑部随陈迁至上海的环龙路老渔阳里2号（今南昌路100弄2号）。此处建筑建于1911年，原为安徽都督柏文蔚的私宅，后由陈独秀租住，楼上厢房是陈独秀的卧室，楼下为《新青年》编辑部。同年12月陈独秀赴广州任职，由陈望道负责编辑工作。《上海伙友》、《劳动界》、《共产党》月刊等曾在此编辑。李达、沈雁冰、李汉俊、陈望道等常在此办公或居住。陈独秀在此建立上海共产党早期组织，并任书记。1920年5月，毛泽东在此拜访陈独秀。这里曾为中共一大会议的筹备处、联络处、接待处，及一大后的中共中央局机关。1952年该房屋重新修复。1955年后成为民居。 1959年5月26日，由上海市人民委员会公布为上海市文物保护单位。1980年8月26日，由上海市人民政府重新公布。 建筑特征：《新青年》编辑部旧址，旧式石库门建筑，两层砖木结构，坐北朝南，一客堂一厢房布局，有后天井，占地面积81平方米，建筑面积150平方米。清水砖外墙已做水泥沙浆抹层，窗楣犹可见红砖砌成的多重线脚，木制百叶窗仍有部分留存；现门罩已无存，花岗石门框有青石雀替，饰卷叶花草浮雕。,31.225487,121.47537,https://shhongse.fudan.edu.cn/__local/4/9F/C2/9328CA4E224D0AD5CE54AF18D06_710C7BA6_20204.jpg?e=.jpg,陈独秀在上海的几处寓所中，环龙路老渔阳里2号（今南昌路100弄2号）是最为著名的一处。它不仅是中国共产党发起组的办公地，也是这位中共中央局书记的寓所，后来一度成为中共中央机关驻地。陈独秀是1920年初在北京受到军阀迫害而南下上海的。他到上海后，先在自己的好友亚东图书馆的汪孟邹处住了一阵子，1920年4月搬到了环龙路老渔阳里2号。这幢老式石库门里弄住宅是一砖木结构建筑，走进这幢房子的大门，有一个大天井，客堂后还有一个小天井，建筑面积约140平方米，一家人住甚是宽敞。这里不仅是陈独秀的住所，也成了《新青年》编辑部的所在地。1920年春，俄共（布）远东局海参崴分局外国处代表维经斯基来到上海后，即多次在此处召集先进知识分子开座谈会，成立中国共产党上海发起组，并以此为办公地点。陈独秀在这里还发起成立了“马克思主义研究会”。在这里，陈独秀等人经讨论决定建立社会主义青年团和外国语学社，制定了《中国共产党宣言》。这里还是中共上海发起组活动的地点。在陈独秀赴广州任广东教育委员会委员长期间，中共发起组负责人李汉俊、李达都曾在这里办公或居住。中共发起组成员陈望道也在楼下厢房住过，帮助编辑《新青年》。1921年8月底，陈独秀由广州回到上海主持中央局工作，中央局机关就设在这里，陈独秀、张国焘、李达三人经常在此开会，研究党的工作。毛泽东1920年春夏之间也来过这里。1959年5月，该处作为“《新青年》编辑部”由上海市人民委员会公布为上海市文物保护单位。1980年8月，该处作为“《新青年》编辑部旧址”由上海市人民政府重新公布为上海市文物保护单位。（来源：《初心之地——上海红色革命纪念地全纪录》）
4,马林与中共一大代表秘密会面处,南京东路635号 马林与中共一大代表秘密会面处位于今南京东路635号永安百货大楼内。,马林与中共一大代表秘密会面处位于今南京东路635号永安百货大楼内。,31.241127,121.48463,https://p5.itc.cn/q_70/images03/20210310/2fc320956cc549d083ab7e662563701f.jpeg,1918年，广东郭乐兄弟在上海建造永安百货大楼，并对外营业。永安百货大楼内设拥有142间客房的大东旅社。1921年6月3日，共产国际代表马林乘“英斯布鲁克”号汽轮抵达上海，住进大东旅社32号房间。为防被敌人盯梢，马林与李达、李汉俊等一大代表经常在永安百货大楼的屋顶花园会面，因那里外国人较多，马林容易隐蔽。1989年，永安百货大楼被公布为上海市文物保护单位。 
5,中共四大纪念馆,四川北路1468号 ,中国共产党第四次全国代表大会遗址位于东宝兴路254弄28支弄8号处。原系石库门房屋，砖木结构假三层，坐西朝东。毁于“一·二八”淞沪战争。 ,31.259907,121.49094,https://tse1-mm.cn.bing.net/th/id/R-C.841f97974452dcc744978f2a01e76b0d?rik=QD2Dqc0f3bz9vw&riu=http%3a%2f%2fdangjian.eastday.com%2fimages%2fthumbnailimg%2fmonth_1807%2f3188cdc4e1474640aaa3f32743a3ac24.png&ehk=VUx94VV5Ey%2fScRMwwgAgjxmsDwW%2fzj%2f8WPPB%2bWJPLQ8%3d&risl=&pid=ImgRaw,1925年1月11日至22日，中共四大在今东宝兴路254弄28支弄8号召开，会场为一栋坐西朝东的砖木结构假三层石库门民居。中共四大使用的会场是中央委托中央宣传部的干事张伯简物色的。中央当时提出具体要求，会场不能安排在租界里，但又不能离租界太远，以便一旦发生异常情况，可以立即撤退和疏散到租界。张伯简按照这一要求，租借到了当时闸北铁路边一所空置的房屋。1925年1月11日，大会正式召开。陈独秀、蔡和森、瞿秋白、陈潭秋等20位同志代表全国994名党员参会。这次大会的中心议题是研究和讨论中国共产党如何加强对日益高涨的革命运动的领导、工人阶级如何参加民主革命运动以及党在组织上和群众工作上如何进行准备的问题。大会经过讨论，通过了11个决议案，修正了党的章程，发表了《中国共产党第四次全国代表大会宣言》。此次大会的重要意义在于明确提出了无产阶级在民主革命中的领导权问题和工农联盟问题，表明党对中国革命规律的认识又前进了一步。中共四大会址原址在“一·二八”淞沪抗战中毁于日军炮火。中华人民共和国成立后，上海市有关部门进行了长期的查访，确认东宝兴路254弄28支弄8号为四大会址。1987年11月，上海市人民政府公布“中国共产党第四次全国代表大会遗址”为上海市革命纪念地点。2014年4月，调整公布为上海市文物保护单位。（来源：《初心之地——上海红色革命纪念地全纪录》）
6,湖北武昌文华书院,粮道街71号,"清末美国基督教圣公会在中国创办的大学。1871年(同治十年)由美国传教士文惠廉创立于武昌。原名“文氏学堂”,1891年(光绪十七年)改今名。",30.554072,114.311202,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fgss0.bdstatic.com%2F94o3dSag_xI4khGkpoWK1HF6hhy%2Fbaike%2Fs%3D220%2Fsign%3D52afe71562d0f703e2b292de38fb5148%2F37d3d539b6003af3e23b6d62352ac65c1038b62b.jpg&refer=http%3A%2F%2Fgss0.bdstatic.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1629175908&t=e890c4795785144bcd2c6fea556ce0ec","1920年2月，武昌文华大学校长孟良佐邀请蔡元培先生参加毕业典礼并作学术演讲，因为蔡先生因事脱不开身,便推荐了陈独秀。2月4日,陈独秀顶风冒雪，乘“大通轮”溯江而上到武汉。在陈独秀在武汉的4天内，就居住于文华大学文学院。根据当时颇有影响的《国民新报》1920年2月7日的报道,以及《民国时报》、《汉口新闻报》1920年2月9日新闻等资料,2月4至7日,陈独秀先后在文华大学公书林、国立武昌高师、汉口青年会、汉口堤下段保安会等地作了多场演讲,讲“中国存亡与社会改革的关系”，宣称“中国的存亡在于社会改造，而求之于根本之解决，又非从教育上着手不可”。因反响过于强烈，后遭湖北当局“大为惊骇,令其休止演讲,速去武汉”。"
7,武汉共产党早期组织创建地,武昌民主路97号,这里原来叫抚院街97号，后来改名为民主路。1920年8月，董必武、陈潭秋、刘伯垂、张国恩、赵子健、包惠僧、郑凯卿等7人在这里举行7人会议，成立了武汉共产党早期组织——共产党武汉支部，推选包惠僧为负责人。这是国内六个最早的中国共产党早期组织之一。会后租用多公祠5号作党组织机关，门前挂“刘芬（即刘伯垂）律师事务所”的牌子，掩护党组织秘密活动，董必武在汉的寓所也在这里，这儿一度成为革命活动的中心。,30.552022,114.305177,http://www.cnhubei.com/xwzt/2021/BNRGXJWC/HSJY/202104/W020210427539163590728.jpg,　1920年8月，董必武、陈潭秋、刘伯垂、张国恩、赵子健、包惠僧、郑凯卿等7人在这里举行7人会议，成立了武汉共产党早期组织——共产党武汉支部，推选包惠僧为负责人。这是国内六个最早的中国共产党早期组织之一。会后租用多公祠5号作党组织机关，门前挂“刘芬（即刘伯垂）律师事务所”的牌子，掩护党组织秘密活动，董必武在汉的寓所也在这里，这儿一度成为革命活动的中心。
8,利群书社,卓刀泉南路华中师范大学图书馆,"1920年初恽代英在“互助社”基础上于武昌创办的书刊发行组织。以利群助人、服务群众为宗旨,实现半工半读的自学主张,致力于新文化运动。成员有林育英、李求实等,毛泽东主办的长沙文化书社部分成员也加入了利群书社。曾出版内部刊物《我们的》,1920年10月正式出版《互助》(仅出一期),发表反对国家主义、无政府主义、批判胡适、张东荪等人思想的文章和通讯,也传播了工读主义、新村主义。",30.526235,114.36753,"https://img1.baidu.com/it/u=632895116,3548588105&fm=26&fmt=auto&gp=0.jpg",五四运动时期，武汉地区的进步团体。1919年12月，恽代英、林育南、余家菊等12人联名发表《共同生活的社会服务》宣言，作为新的共同生活并服务于社会的纲领，规定了书社宗旨、名称、股本来源、开业时间、预售书刊等项目。1920年2月，利群书社正式成立，社址设在武昌横街头18号。书社宗旨：利群助人，服务群众。武汉地区的进步团体如互助社、日新社、仁社等大部分成员都加入该社。社员们在社内实行半工半读，社内有严格的自修和服务制度，制定有《约法》。出版内部刊物《我们的》和不定期刊物《互助》。该社销售各种马克思主义著作和进步书报杂志，是长江中游地区传播新思想新文化和宣传马克思主义的重要阵地，也是武汉地区进步青年的对外联络点。该社不仅与《新青年》《新潮》《少年中国》等杂志有业务往来，还和北京、上海、长沙等地的进步社团保持密切联系。1921年6月，湖北军阀王占元发动兵变，利群书社损失殆尽，被迫停业。7月，恽代英、林育南又转移黄冈召集成立共存社。
9,北京大学红楼,北京市东城区五四大街29号,北京大学红楼建筑通体红砖砌筑，红瓦铺顶，砖木结构，平面呈工字形，东西宽100米，正楼南北进深14米，东西两翼楼南北进深各34.34米，占地面积约1万平方米。北京大学红楼汇集了许多学者和新派人物来此授课，还集中了新潮社、国民杂志社、新文学研究会、哲学研究会等许多革新团体，《新潮》《国民》《每周评论》等进步刊物就设在地下室的红楼印刷厂印制出版，是中国近代史上李大钊、陈独秀、毛泽东、鲁迅、胡适最早传播马克思主义和民主科学进步思想的重要场所，是新文化运动的重要营垒，也是五四运动的策源地和中国共产党的重要发祥地之一，更是重温五四精神、传承红色基因，开展“不忘初心、牢记使命”主题教育的鲜活教材，具有重要的历史、政治和文化价值。,39.931001,116.411699,"https://bkimg.cdn.bcebos.com/pic/0b46f21fbe096b635734fd2203338744ebf8ac97?x-bce-process=image/resize,m_lfit,w_440,limit_1/format,f_auto","在北京五四大街29号，矗立着一座红砖砌成的大楼，这座1918年建成的著名建筑，是北京大学第一院、图书馆和校部旧址所在，俗称“北大红楼”，现为北京新文化运动纪念馆。

一层东南角，昔日北大图书馆主任李大钊的办公室——119号房间已经复原。一本复制的1919年的台历，纸页已泛黄卷曲，时间停留在5月4日。纪念馆相关负责人介绍，李大钊在这里写下了《庶民的胜利》《我的马克思主义观》《新纪元》等重要文章，宣传十月革命，比较系统地介绍了马克思主义。

北京历史上第一个中国共产党的党组织，也“诞生”于此——1920年10月，在北大红楼李大钊办公室，李大钊、张申府、张国焘三人秘密成立北京共产党小组。1920年11月，北京共产党小组举行会议，决定成立共产党北京支部。李大钊被推选为书记。

新文化运动、五四运动、马克思主义传播、北京第一个党组织……北大红楼里，留下了李大钊、陈独秀、邓中夏、高君宇、毛泽东等一批探寻救国救民真理先驱者的不朽足迹。"
10,山东济南,null,济南是五四运动发端最早、参与范围最广、持续时间最长、斗争最为激烈的地区之一。当时济南这座久经战乱、民不聊生、饱经沧桑的古城，在五四运动中发挥着独特而重要的推动作用。五四运动的爆发是由山东问题而引起，所以有着切肤之痛的山东人民尤其是省城济南的人民最为义愤，斗争特别强烈，在运动中所谱写出的一个个可歌可泣、感天动地的济南故事，无一不是对五四精神最好的注脚和诠释。五四运动所蕴含的以“爱国、进步、民主、科学”为主要内容的伟大精神，作为一笔历久弥新的宝贵精神财富，早已融入济南人民的血脉，积淀为这座城市的精神标识和文化财富，激励着一代又一代济南共产党人带领人民群众传承基因、不忘初心，凝聚力量、砥砺前行。,36.65633,117.121728,https://img01.e23.cn/2019/0504/20190504015721491.jpg,
